date,headline,desc
22/09/2008,Liquidity Queried,Mergers and liquidity borrowing from the Central Bank discussed.
25/09/2008,Enter Merrill Lynch,"With impeccable timing Ireland becomes the first country in the eurozone to declare it is in recession. Merrill Lynch brought into advice Department of Finance. Range of options presented. “At this stage, things were getting worse and worse – it was dire,” says one insider. (Simon Carswell reports)"
26/09/2008,,"Merrill Lynch tells Brian Lenihan a blanket guarantee “could be a mistake that would damage the country’s credit rating. However.. Lenihan, Cowen & the Dept decide a blanket guarantee would be best, most decisive, most impactful” from the market’s perspective. Anglo formally requests a short-term liquidity loan of €1.7 billion from Central Bank to tide it over the end of the month. The same day, Irish Life Permanent begins providing up to €3.45 billion in cash deposits to Anglo over the next four days."
27/09/2008,Enter PWC,"PricewaterhouseCoopers says Anglo has lost 10 billion in deposits over the crisis period. They warn that Anglo is heading towards a cash shortfall of €12 billion. Deposits are now being monitored five times a day."
28/09/2008,Anglo is close to collapse,"Merrill Lynch warns Anglo is close to collapse"," has exhausted all sources of liquidity, and faces deficit of 100 million by Tuesday. Merrill Lynch recommends the Central Bank provide €5bn in overnight liquidity in addition to a €20bn State-backed emergency lending scheme. Government advisers say, as an alternative to overnight liquidity, the Government could guarantee the six banks, but that this could raise credibility issues given its scale – involving covering bank liabilities of about €500 billion. Government Meeting: Gormley says that a Bank Guarantee was discussed and agreed. (Meeting recorded in Lenihan’s diary)."
29/09/2008,,Crisis meeting at Department of Finance after Anglo loses another €4 billion. AIB and BoI push for nationalisation of Anglo. Merrill Lynch draws attention to Quinn’s position. The back-to-back transfers involving €7.5 billion between ILP & Anglo took place over these last few days of September.
29/09/2008,, IL&P sent €4billion to Anglo “in line with the previous discussions on the green jersey agenda”.
29/09/2008,, Night of the Bank Guarantee: Director of Central Bank Alan Gray rings Cowen. Meets Lenihan.Brian Cowen apparently thumps table at meeting and says “No way are we effing nationalising Anglo Irish”. Both AIB and BOI were asked by Government for €5billion each to loan to Anglo.
30/09/2008,,The Government announces a €400billion guarantee of the liabilities of all six Irish banks. Department of Finance sends Letter of Comfort to Anglo Irish Bank.
01/10/2008,,PricewaterhouseCooper completes its report on the Irish banking system.
14/10/2008,, Lenihan calls an emergency budget.
03/12/2008,,David Drumm describes Anglo as “performing strongly” and describes profits as “robust”.
18/12/2008,,Sean FitzPatrick resigns after shareholders find out about his €87m hidden loans.
19/12/2008,,David Drumm resigns.
21/12/2008,,Government announces a €1.5 billion bail-out for Anglo.
29/12/2008,, Anglo shares hit 12c.
15/01/2009,,"Anglo Irish Bank Nationalised, Finance Minister Brian Lenihan finds out about €7 billion in loans from IL&P to Anglo."
16/01/2009,,Angry shareholders call for Anglo’s board to be sacked. Five Anglo non-executive directors resign.
25/01/2009,Maple 10 Revealed,The existence of a group of investors who secretly took on 10% of Anglo is revealed by The Sunday Times.
30/01/2009,Regulator resigns,"The financial regulator Patrick Neary resigns on a €143,000 a year pension. “Fair play to ya Willie”."
10/02/2009,7 Billion transfer, IL&P’s €7 billion transfer to Anglo is reported publicly for the first time. Opposition parties call for Lenihan to resign.
12/02/2009,Mistakes Made,"Two directors of IL&P resign. CEO Brian Goggin admits Bank of Ireland made “mistakes”, and “lending decisions in the past are now coming home to roost”."
13/02/2009,FF Support at record low,Denis Casey resigns from Irish Life & Permanent.. Poll shows support for Fianna Fail has fallen to a record low of 22.
